"leaf","stem"
49,174
44,144
39,141
38,128
50,136
52,158
45,137
39,142
29,101
30,96
25,84
44,152
47,137
43,135
11,64
39,105
32,136
44,145
26,98
22,105
50,147
43,132
49,133
38,124
44,129
26,103
39,115
46,129
21,86
39,134
27,92
37,126
35,113
51,152
36,141
44,127
43,122
36,128
35,124
44,134
32,121
40,115
44,129
58,186
29,119
41,141
43,157
46,144
46,152
57,178
35,106
33,116
34,147
31,126
34,109
27,69
48,150
38,122
49,139
40,133
54,180
48,145
45,140
42,152
55,155
39,120
22,96
46,122
44,154
21,118
50,146
29,119
43,129
41,134
42,138
37,138
53,170
46,144
31,120
40,126
29,116
49,151
48,154
24,90
41,128
50,159
38,139
38,121
38,117
47,150
29,101
35,108
34,124
46,155
45,155
21,100
30,124
29,115
40,157
50,129
